batch_size,d_model,num_heads,num_layers,clustering_method,clustering_metric,clustering_param,compression_ratio,ml_time,compression_time,Total_MRT_time,Total_OSTC_time,querying_time,total_time,accuracy_individual_results,score
128,64,2,2,KMEDOIDS,euclidean,1000,1.3180261560846362,208683871436,61101541230,48907.0,1640.072021484375,1187258943755,1558690437293,"[('Where', 0.9875205968334821), ('Distance', 0.8647768932008825), ('When', 0.996952666700314), ('How Long', 0.9999481630385174), ('Count', 0.918637925135254), ('KNN', 0.998153547133139), ('Window', 0.993015873015873)]",0.9655722378653516
128,64,2,2,KMEDOIDS,euclidean,2500,1.3415811855450732,249830537740,56700577382,45400.0,972.593994140625,1003704402673,1396448579208,"[('Where', 0.9717351084634713), ('Distance', 0.8661631965553471), ('When', 0.9923408621106281), ('How Long', 0.9998898541255007), ('Count', 0.8154679370033109), ('KNN', 0.9945578231292518), ('Window', 0.9840038872691934)]",0.9463083812366719
128,64,2,2,KMEDOIDS,euclidean,5000,1.3907365369105744,244893481681,47449118821,35429.0,3200.364013671875,690155584033,1040883539793,"[('Where', 0.9477896453072625), ('Distance', 0.8665784576446786), ('When', 0.9847218468549226), ('How Long', 0.9997538030576555), ('Count', 0.555843559985948), ('KNN', 0.9913313896987366), ('Window', 0.9680725623582767)]",0.9020130378439257
128,64,2,4,KMEDOIDS,euclidean,1000,1.3184141342665627,209106594256,51295435940,38933.0,1269.876953125,1198909036664,1555303521965,"[('Where', 0.9875789872701412), ('Distance', 0.8658988195035765), ('When', 0.9966450977851652), ('How Long', 0.9999481633653303), ('Count', 0.8945771532727017), ('KNN', 0.997667638483965), ('Window', 0.9930936183997409)]",0.9622013540115173
128,64,2,4,KMEDOIDS,euclidean,2500,1.341809118150809,233994561737,50583783479,39616.0,975.7030029296875,1015093785423,1382611087484,"[('Where', 0.973471674336425), ('Distance', 0.866653109514814), ('When', 0.9922536313957254), ('How Long', 0.9998185888536013), ('Count', 0.7796613310787396), ('KNN', 0.9937414965986394), ('Window', 0.9839131843213476)]",0.941359002299899
128,64,2,4,KMEDOIDS,euclidean,5000,1.3920227968409125,237148968343,30992151985,22410.0,773.3060302734375,718634812571,1044376069861,"[('Where', 0.9473546103869016), ('Distance', 0.866416099383583), ('When', 0.9849500394649674), ('How Long', 0.9997343666747383), ('Count', 0.5590836449218437), ('KNN', 0.9905798509880143), ('Window', 0.9688111435050211)]",0.9024185364750099
128,64,4,2,KMEDOIDS,euclidean,1000,1.3169118141148186,202770210056,59149548232,47084.0,1812.2779541015625,1210560199430,1569417610436,"[('Where', 0.9860328200438148), ('Distance', 0.8662386309644255), ('When', 0.9966843090950182), ('How Long', 0.9999352063944715), ('Count', 0.9066789437180763), ('KNN', 0.9969808875931324), ('Window', 0.9932620667314545)]",0.963687552077199
128,64,4,2,KMEDOIDS,euclidean,2500,1.339419923945793,232554916241,50504447280,38655.0,1150.8470458984375,1051833840692,1430841061680,"[('Where', 0.9744585385808552), ('Distance', 0.8659400085851845), ('When', 0.9921911591157456), ('How Long', 0.9998768975743568), ('Count', 0.7055434581080863), ('KNN', 0.9958794946550049), ('Window', 0.9842759961127308)]",0.9311665075331376
128,64,4,2,KMEDOIDS,euclidean,5000,1.391607546937302,241718714330,32476558600,23406.0,939.8889770507812,683979690325,1018746390632,"[('Where', 0.9476846290947086), ('Distance', 0.8663151599589395), ('When', 0.9846128698594494), ('How Long', 0.9997861977747354), ('Count', 0.5510766577709113), ('KNN', 0.9908649173955297), ('Window', 0.9687917071590542)]",0.9013045912876184
128,64,4,4,KMEDOIDS,euclidean,1000,1.3180247490824777,217641653161,57169523493,45310.0,1097.6099853515625,1172412728105,1544931888232,"[('Where', 0.9864841388657812), ('Distance', 0.8664465051014026), ('When', 0.9967494445311912), ('How Long', 0.9999352053494789), ('Count', 0.9163199125078727), ('KNN', 0.99718820861678), ('Window', 0.9928020732102365)]",0.9651322125975348
128,64,4,4,KMEDOIDS,euclidean,2500,1.3412620156880184,273700780923,82118655108,70591.0,854.9409790039062,1049090643938,1489760583447,"[('Where', 0.9736912236625824), ('Distance', 0.8665880248983592), ('When', 0.9922433313350218), ('How Long', 0.9998768986776057), ('Count', 0.8035652052425232), ('KNN', 0.994428247489472), ('Window', 0.9840233236151603)]",0.9449166078458177
128,64,4,4,KMEDOIDS,euclidean,5000,1.3893421639449532,312322479289,48295866290,37910.0,746.8779907226562,708187108103,1128471671102,"[('Where', 0.9477331034119076), ('Distance', 0.8665490354362444), ('When', 0.9846454408311144), ('How Long', 0.9997214080062432), ('Count', 0.6512709367956475), ('KNN', 0.9904761904761905), ('Window', 0.9681243926141885)]",0.9155029296530766
128,128,2,2,KMEDOIDS,euclidean,1000,1.3168364368594956,247628631557,47937528697,36024.0,1220.54296875,1226933906170,1641213924891,"[('Where', 0.9871003287640374), ('Distance', 0.8665334997733847), ('When', 0.9964944552523308), ('How Long', 0.9999546422466549), ('Count', 0.833567708388983), ('KNN', 0.9976028506640752), ('Window', 0.9932815030774215)]",0.9535049983095553
128,128,2,2,KMEDOIDS,euclidean,2500,1.340389325308425,213416129848,64529097148,53005.0,1232.3179931640625,1025637889635,1382528898456,"[('Where', 0.9732317213402736), ('Distance', 0.8665292612441136), ('When', 0.9918089472927639), ('How Long', 0.9998768974333441), ('Count', 0.7626668740733726), ('KNN', 0.9955037252996437), ('Window', 0.9838807904114026)]",0.9390711738707022
128,128,2,2,KMEDOIDS,euclidean,5000,1.3917079372999481,317379064733,60786741084,50270.0,734.3989868164062,692126218645,1125436084059,"[('Where', 0.9470543691669788), ('Distance', 0.8666169143795521), ('When', 0.9844714570749661), ('How Long', 0.9997019742757077), ('Count', 0.4729905635760764), ('KNN', 0.99073534175575), ('Window', 0.9684872044055717)]",0.8900082606620862
128,128,2,4,KMEDOIDS,euclidean,1000,1.317618720012294,205851492634,56107543350,44828.0,986.301025390625,1166453736078,1514845443242,"[('Where', 0.9877776957119493), ('Distance', 0.8656102533535602), ('When', 0.9966787161378583), ('How Long', 0.9999416842970451), ('Count', 0.9267885410161917), ('KNN', 0.9971363783608681), ('Window', 0.9931454486556528)]",0.9667255310761609
128,128,2,4,KMEDOIDS,euclidean,2500,1.340157025914703,256218111693,49826084469,38027.0,1015.31298828125,1038217405842,1428313700765,"[('Where', 0.9741635866735572), ('Distance', 0.8663240439550587), ('When', 0.992615625229501), ('How Long', 0.9998833774706374), ('Count', 0.8114790896191907), ('KNN', 0.9954259799157759), ('Window', 0.9844897959183674)]",0.946340214111727
128,128,2,4,KMEDOIDS,euclidean,5000,1.389999617227466,242945254108,108266517546,99884.0,707.9249877929688,701954630272,1106822934423,"[('Where', 0.9472129213201256), ('Distance', 0.8664677214096043), ('When', 0.9845999114909855), ('How Long', 0.999701973337826), ('Count', 0.4604726206968183), ('KNN', 0.9913443472627146), ('Window', 0.9681308713961775)]",0.888275766702036
