batch_size,d_model,num_heads,num_layers,clustering_method,clustering_metric,clustering_param,score
5,64,2,2,KMEDOIDS,euclidean,3,0.8539682539682539
5,64,2,2,KMEDOIDS,euclidean,5,0.8539682539682539
5,64,2,3,KMEDOIDS,euclidean,3,0.8539682539682539
5,64,2,3,KMEDOIDS,euclidean,5,0.8539682539682539
5,64,4,2,KMEDOIDS,euclidean,3,0.8539682539682539
5,64,4,2,KMEDOIDS,euclidean,5,0.8539682539682539
5,64,4,3,KMEDOIDS,euclidean,3,0.8539682539682539
5,64,4,3,KMEDOIDS,euclidean,5,0.8539682539682539
5,128,2,2,KMEDOIDS,euclidean,3,0.8539682539682539
5,128,2,2,KMEDOIDS,euclidean,5,0.8539682539682539
5,128,2,3,KMEDOIDS,euclidean,3,0.8539682539682539
5,128,2,3,KMEDOIDS,euclidean,5,0.8539682539682539
5,128,4,2,KMEDOIDS,euclidean,3,0.8539682539682539
5,128,4,2,KMEDOIDS,euclidean,5,0.8539682539682539
5,128,4,3,KMEDOIDS,euclidean,3,0.8539682539682539
5,128,4,3,KMEDOIDS,euclidean,5,0.8539682539682539
5,64,2,2,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,64,2,2,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,64,2,3,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,64,2,3,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,64,4,2,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,64,4,2,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,64,4,3,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,64,4,3,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,128,2,2,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,128,2,2,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,128,2,3,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,128,2,3,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,128,4,2,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,128,4,2,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
5,128,4,3,AGGLOMERATIVE,euclidean,0.25,0.8539682539682539
5,128,4,3,AGGLOMERATIVE,euclidean,0.5,0.8539682539682539
